MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.57,0.1,0.1,0.1,2.03,0.12,0.12,0.12,2,0.3,0.3,0.3,1.69,0.29,0.29,0.29,0.2,0.1,1.4,0.75,0.4,0.2,0.2,0.2,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Transit
1.57,0.06,0.06,0.06,0.945722,0.200729,0.200729,0.200729,3.80029,0.121758,0.121758,0.121758,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,RV
1.57,0.11,0.14,0.125,0.0300338,0.00818042,0.00818042,0.00818042,2.42,0.34,0.41,0.375,0.283,0.00038,0.08861999999999999,0.0445,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.57,0.18,0.18,0.18,10.3722,0.824238,0.824238,0.824238,27.4346,0.877909,0.877909,0.877909,,,,,,,,,,,,,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,RV
1.57,0.06,0.06,0.06,1.94873,0.135267,0.135267,0.135267,3.80029,0.121758,0.121758,0.121758,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,RV
1.56,0.09,0.09,0.09,2.1,0.15,0.15,0.15,3.39124,0.108636,0.108636,0.108636,,,,,,,,,,,,,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,RV
1.543,0.051,0.051,0.051,1.72959,0.208387,0.208387,0.208387,1.833,0.138,0.07599999999999998,0.107,1.413,0.128,0.07699999999999999,0.1025,,,,,0.812942,0.202323,0.202323,0.202323,Bieryla 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5460B,Transit
1.54,0.14,0.10999999999999999,0.125,0.136066,0.0333105,0.0333105,0.0333105,1.98,0.43,0.35000000000000003,0.39,0.616,0.00023,0.24176999999999998,0.121,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.54,0.21,0.18000000000000002,0.195,0.0277215,0.0104861,0.0104861,0.0104861,1.88,0.61,0.38,0.495,0.272,0.00114,0.13686,0.069,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.538,0.088,0.088,0.088,0.84,0.15,0.15,0.15,3.21,0.3,0.3,0.3,1.99,0.18,0.18,0.18,0.0663,0.0155,0.0155,0.0155,0.131,0.037,0.037,0.037,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,Transit
