MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
1.789,0.022,0.212,0.11699999999999999,0.007251222153933125,0.00444435255873169,0.00444435255873169,0.00444435255873169,2.245,0.209,0.489,0.349,0.11330200581922387,0.009813559559145374,0.0249799697869155,0.017396764673030436,,,,,,,,
1.78,0.18,0.18,0.18,1.76867,0.236437,0.236437,0.236437,5.29,0.09,0.09,0.09,,,,,,,,,,,,
1.78,0.18,0.18,0.18,1.96,0.12,0.12,0.12,5.29,0.41,0.41,0.41,,,,,,,,,,,,
1.774,0.181,0.294,0.2375,0.039417222712279695,0.025615805409006834,0.025615805409006834,0.025615805409006834,2.022,0.533,0.436,0.48450000000000004,0.3131417641145478,0.08207704358557949,0.0678027751359135,0.0749399093607465,,,,,,,,
1.765,0.193,0.773,0.483,0.37614647428578146,0.38617488403908035,0.38617488403908035,0.38617488403908035,4.95,0.302,1.256,0.779,0.8296918536368363,0.05085208135193511,0.21054545963257348,0.13069877049225428,,,,,,,,
1.761,0.175,0.702,0.4385,1,0,0,0,7.506,0.415,1.661,1.038,3.1091140966928754,0.17129122139599198,0.6887334526963844,0.43001233704618824,,,,,,,,
1.748,0.193,0.58,0.38649999999999995,1,0,0,0,7.796,0.492,1.475,0.9835,2.265147974606373,0.14274268449666,0.42822805348997994,0.28548536899332,,,,,,,,
1.75,,,,9,3,3,3,,,,,,,,,,,,,,,,
1.75,0.05,0.05,0.05,,,,,,,,,0.76,,,,,,,,,,,
1.74,0.122,0.489,0.3055,0.06627092292080168,0.03896876764142186,0.03896876764142186,0.03896876764142186,4.994,0.631,1.892,1.2614999999999998,0.3916502405877108,0.04906779779572688,0.14809553516528473,0.0985816664805058,,,,,,,,
1.742,0.207,0.285,0.246,1,0,0,0,3.359,0.386,1.159,0.7725,2.093856753210381,0.2399861383100096,0.7226348402643411,0.48131048928717535,,,,,,,,
1.74,0.06,0.28,0.17,2.37727,0.235127,0.235127,0.235127,5.55146,0.177695,0.177695,0.177695,,,,,,,,,,,,
1.74,0.06,0.28,0.17,2.36493,0.267128,0.267128,0.267128,5.55146,0.177695,0.177695,0.177695,,,,,,,,,,,,
1.74,0.21,0.21,0.21,4.31096,0.36306,0.36306,0.36306,15.7275,0.503292,0.503292,0.503292,,,,,,,,,,,,
1.734,0.044,0.044,0.044,0.100437,0.0217279,0.0217279,0.0217279,1.759,0.03,0.03,0.03,0.550851,0.0124788,0.0124788,0.0124788,,,,,,,,
1.727,0.258,0.39,0.324,0.039952102638659455,0.03565325367113883,0.03565325367113883,0.03565325367113883,2.637,0.799,0.917,0.8580000000000001,0.3149260476707561,0.09545917025714137,0.10973343870680737,0.10259630448197436,,,,,,,,
1.734,0.19,0.571,0.38049999999999995,1,0,0,0,5.132,0.811,1.507,1.159,5.207431558793777,0.8234468611901073,1.5291310076704703,1.1762889344302887,,,,,,,,
1.73,0.19,0.19,0.19,2.8638,0.324005,0.324005,0.324005,5.60612,0.179443,0.179443,0.179443,,,,,,,,,,,,
1.72,0.12,0.12,0.12,1.40289,0.175684,0.175684,0.175684,5.26341,0.168461,0.168461,0.168461,,,,,,,,,,,,
1.72,0.1,0.1,0.1,6.515,1.575,1.575,1.575,1.71,0.04,0.04,0.04,1.406,0.038,0.038,0.038,,,,,,,,
1.718,0.03,0.022,0.026,2.24797,0.0920325,0.0920325,0.0920325,1.86203,0.0598637,0.0598637,0.0598637,,,,,,,,,,,,
1.718,0.03,0.022,0.026,2.57917,0.147917,0.147917,0.147917,1.86203,0.0598637,0.0598637,0.0598637,,,,,,,,,,,,
1.714,0.155,0.466,0.3105,0.03376023836374593,0.02599809209418375,0.02599809209418375,0.02599809209418375,3.6,0.59,1.376,0.9829999999999999,0.292622503218153,0.04817565601762275,0.11151772226301562,0.07984668914031919,,,,,,,,
