Teff Dnu0_median r_sep02_median dnu02_median Fe/H r_avg10_median r_avg01_median
5.756627718706882613e-01 4.112041362870789973e-02 1.387289591115031528e-01 3.439197064715750207e-02 6.435417030716515663e-02 1.240581923353755583e-01 2.168352209940254544e-02
6.280401276908886832e-01 4.849063794107879438e-02 1.632309910698349353e-01 7.891100576626187968e-02 3.169288615488848743e-02 3.538092915110528647e-02 1.425342222594184506e-02
5.063941817437036530e-01 4.368596247200651206e-02 2.692306197974259629e-01 4.350250322046281953e-02 6.950420476907942513e-02 1.949092096750770775e-02 4.819160702981398203e-02
5.186641483237450778e-01 1.593065320474663926e-01 1.681648125463429122e-01 4.977749349560365438e-02 6.315670200948932111e-02 2.646235859308765370e-02 1.446795298426493959e-02
6.147868664749687184e-01 4.194889608310379409e-02 1.550588813907077812e-01 4.326251757665815212e-02 1.018164587651685105e-01 2.808299689440090646e-02 1.504338281499223787e-02
5.934564360991134713e-01 4.326869930473684067e-02 1.867503061617453441e-01 6.784400249590569199e-02 4.830489645886519579e-02 3.732250621932975410e-02 2.305315326030345918e-02
5.030644549979580438e-01 4.711654844093003669e-02 2.594196290394881199e-01 8.544330559357336818e-02 5.811274424841397085e-02 1.486081786328282729e-02 3.198249981635350320e-02
5.777195481722453563e-01 4.097016554607216948e-02 1.678971072071197557e-01 7.736550871698121001e-02 1.025288160396487236e-01 2.135644950108216145e-02 1.216240481685061138e-02
4.823207050555781694e-01 4.258229249265582661e-02 1.389249741123074755e-01 3.871528431013585014e-02 2.171794383632805747e-01 2.585117561314693307e-02 5.442613005289525380e-02
5.675242867084920873e-01 4.438083155297659066e-02 1.159437429704592709e-01 1.777162720651124725e-02 1.105624616165211960e-01 1.329744693413400514e-01 1.084258060369956873e-02
4.793038444171998647e-01 4.027858039214739228e-02 3.003043134317949225e-01 5.632038367313136479e-02 9.242991897508406884e-02 1.333062376553101336e-02 1.803233534511114455e-02
4.716485277987575442e-01 4.604826997236854957e-02 2.690681525709478494e-01 3.098966045843708217e-02 7.458985407865664774e-02 2.436906222338824923e-02 8.328647289744416093e-02
5.090736139725566822e-01 4.926065005492439447e-02 2.826002990504502543e-01 4.530546082544837511e-02 4.351630319727942120e-02 1.607936457208117981e-02 5.416430832725981082e-02
