Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
5.090059643611536400e-01 4.381327140801462294e-02 2.199054374264818312e-01 1.385863961502276920e-01 4.266655350124061441e-02 2.659318523254882924e-02 1.942919192033260023e-02
4.141389113217645579e-01 1.407752571982963108e-01 1.321995696480425531e-01 5.668407210809944807e-02 2.286712617437624828e-01 1.530203350425751556e-02 1.222889447577715782e-02
4.423065401781732797e-01 4.652456655974773064e-02 3.213172085273851009e-01 9.008729941967164034e-02 6.237758326009994886e-02 2.440441661687209329e-02 1.298238543805021496e-02
6.114415189347409685e-01 4.141034843984833097e-02 1.588326708302447154e-01 3.062021567080850173e-02 8.919662427748593914e-02 5.678159239794587643e-02 1.171702944892565219e-02
5.635520012990408167e-01 4.253596293219386731e-02 1.597424083293514097e-01 5.879360820455100528e-02 9.289769556111220072e-02 6.686395004307636725e-02 1.561437363067434692e-02
5.647755001568504074e-01 4.172351539782785668e-02 1.951310891654064184e-01 2.652040387317048872e-02 6.106530252333540465e-02 1.694971793972467958e-02 9.383447094368471686e-02
5.735857149618568407e-01 4.920139385470045229e-02 2.252036175361828430e-01 4.292851606059115005e-02 7.068931580638762591e-02 1.524646441407664400e-02 2.314497736620453952e-02
5.511399104859855402e-01 5.120997698083318977e-02 2.645199211614813750e-01 4.074861507794284854e-02 5.439812196753980589e-02 1.437836129146757846e-02 2.360509303474962045e-02
6.039646484947558402e-01 4.213685589409197491e-02 1.491270146984880751e-01 8.200857118126346490e-02 3.518225246352682523e-02 1.285595182569540702e-02 7.472470544217837962e-02
4.481367421565995435e-01 4.487436069998224086e-02 3.368197794771822795e-01 5.902999661792342895e-02 7.200026410653129205e-02 1.782606689888654658e-02 2.131279004289478654e-02
5.779617472914468923e-01 3.950112203009901318e-02 1.772569140616609418e-01 2.501951651636096993e-02 1.458913641293839991e-01 2.021011198703998729e-02 1.415922398400851732e-02
5.721216055942318635e-01 4.565424537545181849e-02 2.387997169643674700e-01 4.794684778271467163e-02 5.506539616197306253e-02 1.621170591653190579e-02 2.420048220472934344e-02
4.242199976498641778e-01 4.323398594690788799e-02 3.202754196244039231e-01 4.079525928632982135e-02 1.376702372860070245e-01 2.023347990130704502e-02 1.357162030518023303e-02
5.339666373613688455e-01 4.355539525194790373e-02 1.996358582286044681e-01 4.717918191024039754e-02 1.174650565042374278e-01 3.680176357604712789e-02 2.139610716755382253e-02
6.325344849996985541e-01 5.005162247788172425e-02 1.531983254858562127e-01 7.969952009177942720e-02 5.214951127148700905e-02 1.420711181177068856e-02 1.815942386152621935e-02
5.773458090535440457e-01 4.266768288650517327e-02 1.144585891837811287e-01 8.525017680933057174e-02 1.317435756324780993e-01 3.213001272964936816e-02 1.640415370471162357e-02
4.111919285328213269e-01 1.949488299108778633e-01 1.447286684871556539e-01 6.222498944325668968e-02 1.383833648516669956e-01 2.118007182261369414e-02 2.734214695160776601e-02
6.239795092111058983e-01 5.042811439964407783e-02 1.804769317924901917e-01 3.433888473158377974e-02 4.754144454465596831e-02 4.803062495529451803e-02 1.520449036522569450e-02
5.882904106749445861e-01 4.725987699155085459e-02 1.823642964446160197e-01 5.322765136790529039e-02 7.365896893041835869e-02 1.574134190084375273e-02 3.945745368972113781e-02
5.540182478481670003e-01 4.826881618778145616e-02 2.502835699518260459e-01 3.517625381118474892e-02 8.355502234380617066e-02 1.454346352685174058e-02 1.415462633038287038e-02
4.661310574245999261e-01 4.119435580062973806e-02 3.199008098608056017e-01 1.913269733942861428e-02 1.255157814944139472e-01 1.369534473969680199e-02 1.442995334042534994e-02
4.273404328813893982e-01 5.134073914163928692e-02 3.234666920877176111e-01 8.693104220686646844e-02 5.902023020478252419e-02 1.861608486712983471e-02 3.328477861047501180e-02
5.798545295865635829e-01 4.626485918090180588e-02 1.837056570669103328e-01 2.672022344419836687e-02 1.273309156177862556e-01 1.103531085010700692e-02 2.508850425353262303e-02
5.985926288680439855e-01 4.665545016618094509e-02 2.152115565794358032e-01 4.689013803324060259e-02 5.286757220339327601e-02 1.935892252361268162e-02 2.042373162609273721e-02
5.992779239365004784e-01 4.300784243273728796e-02 1.304028792602115461e-01 1.028336346361150566e-01 5.890041717572168378e-02 4.801582392583884223e-02 1.756147863287520552e-02
5.466894806923969785e-01 4.490372043946618680e-02 2.622055504302202023e-01 3.980564133049322578e-02 3.739144850232827000e-02 3.085403972422208485e-02 3.815011888087295466e-02
5.910816897163432282e-01 4.552503263119219573e-02 1.330794364587299938e-01 7.920629791529838759e-02 9.455864270659480875e-02 4.186882824795531977e-02 1.468007232388608869e-02
5.101651837649966437e-01 4.264106022615386793e-02 2.795682097971726177e-01 4.854453927268776586e-02 7.836959305961867239e-02 1.869415748534345584e-02 2.201725639402711543e-02
4.998190572786818109e-01 5.129922303686896418e-02 2.532418783835186926e-01 5.017175615523267185e-02 9.171227370297928283e-02 2.674221762122701296e-02 2.701359382149156468e-02
5.396960716969579908e-01 4.145255880284612338e-02 1.284636608990528950e-01 4.760172080142158202e-02 1.712185598324753311e-01 1.513897442528746445e-02 5.642845354195867580e-02
5.959961707245557960e-01 4.675105207031211157e-02 1.964542655685269923e-01 2.206053097287517806e-02 1.069085876557011178e-01 1.340827860661071916e-02 1.842111440141803655e-02
5.687831902250827243e-01 4.684472924738076333e-02 1.724702709595807293e-01 5.609880906374230952e-02 8.115827195795440041e-02 3.986221051185151465e-02 3.478251803440748219e-02
6.212439292415057324e-01 4.725098708115283569e-02 1.811179958980219662e-01 7.501031602883496963e-02 4.125082612308270114e-02 1.439552986787717877e-02 1.973041575952465612e-02
5.404669349364208397e-01 4.554354765973817054e-02 2.734339911810901858e-01 5.045190476917931627e-02 5.236369815950990547e-02 1.255756563721815294e-02 2.518235765684341543e-02
6.314481203391206776e-01 4.470373363045914566e-02 1.781190092902737165e-01 2.387423237929501077e-02 7.269811661703694250e-02 3.222043805800921257e-02 1.693634968580516598e-02
5.627233881314362973e-01 4.090181914908744970e-02 1.674992502052187193e-01 3.376752999734978361e-02 1.412993675196138610e-01 1.325135733548195478e-02 4.055728766181187356e-02
6.022294569190349556e-01 4.598572141283196330e-02 1.675010456438575934e-01 2.162734179195474268e-02 1.222253705592243889e-01 2.334390494894533069e-02 1.708715872415110179e-02
6.075846886133846603e-01 5.128355326989301327e-02 1.252045000123000185e-01 5.989944462356690952e-02 5.505449977341538709e-02 2.672033160092653764e-02 7.425298210651341824e-02
4.997978793013324039e-01 7.312740958742242059e-02 2.619335542127361749e-01 6.897035427276237973e-02 6.534840974552112713e-02 1.628503042505159704e-02 1.453736245517393312e-02
