M Y Z alpha diffusion overshoot age radius L log_g
9.365604819335955344e-01 2.762038227539059809e-01 9.235433593749975759e-03 1.795327270019527521e+00 1.201789680175783692e+00 3.154270009765643423e-01 8.512937857350983961e+00 1.239536810812509549e+00 2.279965142380804277e+00 4.221084629402348298e+00
1.024978853027345593e+00 2.697560463867186287e-01 1.065814111328127096e-02 1.842914497070311297e+00 1.299423498046871517e+00 1.834874428710934480e-01 6.703566720443045135e+00 1.310107199455661009e+00 2.549819442728433749e+00 4.219052092276790233e+00
1.028782141601563449e+00 2.670714145507813164e-01 1.071610937499999604e-02 1.839541452636717311e+00 1.246541982421873085e+00 1.833109624023427087e-01 6.447483245979046096e+00 1.285137199220413695e+00 2.501442949322703502e+00 4.238914014980778688e+00
9.126031298828161109e-01 2.573756928710932423e-01 4.373271484375048507e-03 1.708660837890622508e+00 1.007656606933601262e+00 4.271439951171936422e-01 9.230173417526156499e+00 1.299031040481745336e+00 2.631371389679488360e+00 4.171849437865153831e+00
1.013913000000001841e+00 2.683558095703124646e-01 9.575652343749999421e-03 1.849230952636717440e+00 1.254188190429684990e+00 1.866289331054680201e-01 6.691209989544024239e+00 1.294578216536905746e+00 2.519809893145004587e+00 4.224275192544609148e+00
9.287174262695334637e-01 2.749583876953122230e-01 8.654227539062491273e-03 1.767253184082028250e+00 1.200467533691408351e+00 3.298686591796901046e-01 8.676018494757535393e+00 1.244355688822583295e+00 2.288366155682939773e+00 4.213919889262176532e+00
9.357853779296890773e-01 2.814928676757811887e-01 1.081186328124999693e-02 1.876581197265620560e+00 1.232854940917963660e+00 2.274363032226547898e-01 8.460778998959842312e+00 1.203409880990344627e+00 2.061773137778570852e+00 4.247833952404904245e+00
8.677255668945329514e-01 2.727485571289056110e-01 4.286051757812566095e-03 1.725008504882810989e+00 1.251869967773444170e+00 4.071764165039132299e-01 9.764382330653852193e+00 1.248799695335693238e+00 2.406411933870263198e+00 4.182836432220904399e+00
1.061153698730468831e+00 2.741756894531252042e-01 1.491326220703115962e-02 1.835066475097653971e+00 1.167032950195307617e+00 1.884089882812485517e-01 4.963456196344574245e+00 1.204590261385763972e+00 2.144274259597735099e+00 4.308769957206220802e+00
9.381505400390648397e-01 2.674387416992183852e-01 6.858419921875030453e-03 1.703797937988279054e+00 1.146595654296879596e+00 3.916689711914102534e-01 8.631618324161687283e+00 1.290056879519047683e+00 2.595116456259419113e+00 4.188895159903969656e+00
1.183434207031246688e+00 2.887292011718751161e-01 1.862792431640616572e-02 1.830526194335935442e+00 1.406010191894521588e+00 1.195183725585937801e-01 4.183671093118839224e+00 1.449391754717787029e+00 3.181453630202526028e+00 4.190899138122646583e+00
9.508965122070339726e-01 2.568797636718747612e-01 4.803184570312511031e-03 1.732234697753901820e+00 8.930573955078257020e-01 4.139952172851570356e-01 8.312160090388188038e+00 1.396909400329703788e+00 2.814436251114732279e+00 4.127954205370332197e+00
9.291177153320335780e-01 2.751081127929684289e-01 8.827969238281224360e-03 1.766656555175778465e+00 1.244877522460938080e+00 3.269984072265655906e-01 8.825382071811537443e+00 1.259183733787925030e+00 2.335426617956225304e+00 4.204651280545895986e+00
9.070798876953146683e-01 2.723644140624994492e-01 6.365540039062505227e-03 1.775758412597653546e+00 1.150393062011727308e+00 3.781703442382833846e-01 9.120987247009976429e+00 1.246920260564763572e+00 2.357673212236812699e+00 4.202639148140320913e+00
8.950906943359394630e-01 2.698233906249996039e-01 6.272541503906271278e-03 1.778969980957028296e+00 1.163201775390628745e+00 3.636706889648474439e-01 9.639990951338441860e+00 1.252279132902447412e+00 2.316087826745946820e+00 4.194610422635217439e+00
9.270104780273483724e-01 2.529449750976560107e-01 3.952052246093765327e-03 1.735807841308589561e+00 9.463701870117248172e-01 4.406147910156286152e-01 9.017370937686113308e+00 1.338141589637987350e+00 2.701636486988854280e+00 4.154798693745926919e+00
1.030673307617189227e+00 2.676316186523436946e-01 1.078338964843749206e-02 1.818060316894530848e+00 1.273795390136717165e+00 1.769574165039056179e-01 6.477360649425482286e+00 1.307076817833115800e+00 2.570970587363969440e+00 4.226178713902234207e+00
8.754533344726580513e-01 2.725473090820307864e-01 5.616812011718784470e-03 1.780488967285153157e+00 1.139669273437506014e+00 3.893744189453153814e-01 9.958180334561111735e+00 1.250468868421399371e+00 2.245338969122626427e+00 4.187308253033103611e+00
1.031267245605469451e+00 2.683467377929686926e-01 1.270850341796875282e-02 1.838812242675778474e+00 1.138068427734372667e+00 1.981032202148431121e-01 6.310072603374671019e+00 1.245215380546824457e+00 2.251325063744748167e+00 4.267692015331433275e+00
8.673620410156268612e-01 2.689473886718742324e-01 4.027409667968812230e-03 1.678660427246091880e+00 1.275657430175790807e+00 4.192640258789149810e-01 1.000299649650640887e+01 1.270880382495199301e+00 2.428544049730093857e+00 4.167743481962170371e+00
9.819811298828133861e-01 2.724184819335935814e-01 1.089779638671877632e-02 1.860423980468746574e+00 1.185653900390622795e+00 2.008070893554676217e-01 7.679123097933542752e+00 1.221249484429653087e+00 2.167324214219646272e+00 4.257885229243915326e+00
9.305580131835967661e-01 2.651168452148433552e-01 6.913634765625040028e-03 1.696666420410154030e+00 1.066320950195317696e+00 4.092830781250046956e-01 8.943776145060326144e+00 1.306770062330099291e+00 2.527158822947959571e+00 4.176227483270215757e+00
1.032793908203125444e+00 2.683791738281250949e-01 1.269491894531247708e-02 1.837796283203122494e+00 1.209075796875001219e+00 1.795980200195304854e-01 6.267532941334525987e+00 1.250432062248921339e+00 2.271810557600837388e+00 4.263021868406087656e+00
8.747841254882833262e-01 2.674691987304680385e-01 4.533882324218809282e-03 1.675531786621091923e+00 1.253388430175790269e+00 4.157400375976640916e-01 9.960576146041656642e+00 1.272553590234419385e+00 2.369254808540991686e+00 4.170193366148553515e+00
1.021117090820313766e+00 2.682529965820312223e-01 1.108634423828125729e-02 1.830669943359373386e+00 1.203137284179685684e+00 2.000946455078114194e-01 6.681265676481825011e+00 1.292608357031334254e+00 2.422907144793539302e+00 4.231794705116552535e+00
8.901899921875016108e-01 2.703531083984370142e-01 6.308270019531263262e-03 1.838504258789058987e+00 1.121077656249998666e+00 2.932639013671869410e-01 9.772056896565990414e+00 1.204613884421559256e+00 2.134683254792630880e+00 4.228581546643218836e+00
9.172633842773459945e-01 2.785642436523436127e-01 9.349637695312499469e-03 1.871427811523432405e+00 1.181140415039056979e+00 2.631977543945315245e-01 9.132239681486916894e+00 1.209169956947179658e+00 2.110778121977151756e+00 4.236172390113308595e+00
