#  l   n        freq     error
#             muHz        muHz
   26   5   1694.0353   0.0047
   26   6   1869.0157   0.0066
   26   7   2039.7164   0.0079
   26   8   2206.0227   0.0084
   26   9   2366.0065   0.0092
   26   10   2521.1757   0.0092
   26   11   2674.3200   0.0090
   26   12   2826.5107   0.0082
   26   13   2977.3487   0.0079
   26   14   3126.8205   0.0091
   26   15   3275.3027   0.0121
   26   16   3423.2050   0.0149
   26   17   3570.8188   0.0194
   26   18   3718.2644   0.0242
   26   19   3865.2084   0.0309
   26   20   4011.8979   0.0417
   26   21   4158.6849   0.0550
   26   22   4305.0463   0.0744
   26   23   4451.2562   0.1000
   27   2   1104.3879   0.0032
   27   3   1325.2229   0.0031
   27   4   1527.5543   0.0046
   27   5   1713.5775   0.0047
   27   6   1889.7458   0.0064
   27   7   2062.0371   0.0071
   27   8   2229.7014   0.0083
   27   9   2390.9265   0.0092
   27   10   2547.4991   0.0090
   27   11   2702.0175   0.0084
   27   12   2855.3022   0.0079
   27   13   3006.9548   0.0079
   27   14   3157.1532   0.0093
   27   15   3306.3947   0.0123
   27   16   3455.0800   0.0158
   27   17   3603.3744   0.0205
   27   18   3751.3704   0.0254
   27   19   3898.9245   0.0324
   27   20   4046.2372   0.0451
   27   21   4193.4140   0.0597
   27   22   4340.2790   0.0805
   27   23   4487.2276   0.1068
   28   3   1342.6529   0.0023
   28   4   1546.0374   0.0034
   28   5   1732.7410   0.0056
   28   6   1910.1292   0.0067
   28   7   2083.8990   0.0075
   28   8   2252.7862   0.0083
   28   9   2415.2924   0.0092
   28   10   2573.3288   0.0091
   28   11   2729.2631   0.0081
   28   12   2883.6457   0.0078
   28   13   3036.1309   0.0083
   28   14   3187.1103   0.0095
   28   15   3337.1458   0.0125
   28   16   3486.6447   0.0162
   28   17   3635.5931   0.0208
   28   18   3784.1481   0.0263
   28   19   3932.4035   0.0353
   28   20   4080.2057   0.0468
   28   21   4227.8421   0.0630
   28   22   4375.2234   0.0856
   28   23   4522.2768   0.1127
   29   2   1135.1721   0.0020
