n l nu dnu
12 30 2939.0182 0.0077
13 30 3093.2585 0.0085
14 30 3245.8832 0.0106
15 30 3397.5507 0.013
16 30 3548.613 0.0175
17 30 3698.9749 0.0224
18 30 3848.788 0.0285
19 30 3998.2233 0.039
20 30 4147.309 0.0525
21 30 4295.9119 0.0715
22 30 4444.2612 0.0968
1 31 907.5603 0.0012
2 31 1164.9732 0.002
3 31 1393.1551 0.0025
4 31 1599.3286 0.0038
5 31 1788.2472 0.0052
6 31 1969.4145 0.0069
7 31 2147.0065 0.0077
8 31 2318.8898 0.0084
9 31 2484.9552 0.0088
10 31 2647.7526 0.0086
11 31 2808.282 0.0077
12 31 2966.0575 0.0075
13 31 3121.2226 0.0087
14 31 3274.7077 0.0112
15 31 3427.24 0.0137
16 31 3579.0432 0.0181
17 31 3730.1419 0.0234
18 31 3880.5426 0.0306
19 31 4030.6421 0.0416
20 31 4180.3695 0.0583
21 31 4329.4499 0.0768
22 31 4478.1609 0.1038
2 32 1179.5323 0.0028
3 32 1409.4235 0.0026
4 32 1616.4344 0.0037
5 32 1806.1661 0.0056
6 32 1988.6346 0.0068
7 32 2167.3212 0.0079
8 32 2339.9999 0.0085
9 32 2507.2368 0.0089
10 32 2671.5777 0.0086
11 32 2833.6503 0.0075
12 32 2992.6058 0.0076
13 32 3148.7729 0.0087
14 32 3303.1906 0.0115
15 32 3456.5633 0.0144
16 32 3609.1914 0.0191
17 32 3760.9919 0.0245
18 32 3912.1154 0.0322
19 32 4062.7937 0.0432
20 32 4213.0174 0.0606
21 32 4362.9108 0.0816
3 33 1425.4175 0.0026
4 33 1633.2285 0.0042
5 33 1823.8413 0.0053
6 33 2007.5963 0.0067
7 33 2187.3071 0.0076
8 33 2360.7908 0.0087
9 33 2529.0773 0.0089
10 33 2694.9607 0.0084
11 33 2858.4784 0.0077
12 33 3018.7244 0.0075
13 33 3175.9589 0.0089
14 33 3331.3312 0.0118
15 33 3485.5913 0.0152
16 33 3639.0054 0.0197
17 33 3791.506 0.0257
18 33 3943.351 0.0343
19 33 4094.6635 0.0465
20 33 4245.4525 0.0641
21 33 4395.7641 0.0868
2 34 1207.9995 0.0019
3 34 1441.1445 0.0028
4 34 1649.7243 0.004
5 34 1841.2464 0.0056
6 34 2026.3266 0.0069
7 34 2206.9968 0.0077
8 34 2381.1904 0.0087
9 34 2550.6025 0.0087
10 34 2717.9121 0.008
11 34 2882.8522 0.0074
12 34 3044.348 0.0076
13 34 3202.719 0.0093
14 34 3359.0903 0.0121
15 34 3514.2719 0.0159
16 34 3668.4942 0.0206
17 34 3821.7356 0.0264
18 34 3974.288 0.0361
19 34 4126.1281 0.0493
20 34 4277.5126 0.0685
21 34 4428.4051 0.093
2 35 1221.926 0.0021
3 35 1456.62 0.003
4 35 1665.9469 0.0038
5 35 1858.4443 0.0055
6 35 2044.8001 0.0068
7 35 2226.3867 0.0078
8 35 2401.284 0.0085
9 35 2571.7944 0.0087
10 35 2740.4563 0.0084
11 35 2906.755 0.0075
12 35 3069.5045 0.0079
13 35 3229.0461 0.0098
14 35 3386.4775 0.0124
15 35 3542.6 0.0165
16 35 3697.5996 0.0211
17 35 3851.6742 0.0281
18 35 4004.8608 0.038
19 35 4157.5038 0.0519
20 35 4309.2148 0.0726
1 36 966.2864 0.0015
2 36 1235.6592 0.002
3 36 1471.8444 0.0031
4 36 1681.8951 0.0043
5 36 1875.4139 0.006
6 36 2063.083 0.0068
7 36 2245.4766 0.0078
8 36 2421.091 0.0085
9 36 2592.6785 0.0083
10 36 2762.6468 0.0076
11 36 2930.1901 0.0075
12 36 3094.1935 0.0079
13 36 3254.9756 0.0101
14 36 3413.5321 0.0127
15 36 3570.6064 0.0171
16 36 3726.4721 0.0221
17 36 3881.2409 0.0298
18 36 4035.123 0.0418
19 36 4188.2528 0.056
20 36 4340.8893 0.0775
1 37 977.5152 0.0039
2 37 1249.1943 0.0023
3 37 1486.8142 0.003
4 37 1697.5936 0.0046
5 37 1892.1894 0.0056
6 37 2081.116 0.0068
7 37 2264.3051 0.0081
8 37 2440.6249 0.0088
9 37 2613.3007 0.0081
10 37 2784.4875 0.0077
11 37 2953.1916 0.0073
12 37 3118.4272 0.0083
13 37 3280.4885 0.0105
14 37 3440.2501 0.0131
15 37 3598.2931 0.0175
16 37 3754.9501 0.0231
17 37 3910.5728 0.0314
18 37 4065.1349 0.0437
19 37 4219.0209 0.0606
1 38 988.5751 0.0027
2 38 1262.5578 0.0019
3 38 1501.5475 0.0029
4 38 1713.0409 0.0046
5 38 1908.7923 0.0057
6 38 2098.9391 0.0067
7 38 2282.8785 0.0078
8 38 2459.937 0.0084
9 38 2633.6578 0.0083
10 38 2805.9817 0.0077
11 38 2975.8036 0.0073
12 38 3142.245 0.0083
13 38 3305.589 0.0106
14 38 3466.5713 0.0136
15 38 3625.5719 0.0183
16 38 3783.1667 0.0243
17 38 3939.4618 0.0331
18 38 4094.8744 0.0468
19 38 4249.4096 0.065
20 38 4403.184 0.0864
1 39 999.4935 0.0033
2 39 1275.7315 0.0021
3 39 1516.0492 0.0032
4 39 1728.2563 0.0045
5 39 1925.181 0.0059
6 39 2116.5461 0.007
7 39 2301.2036 0.0079
8 39 2479.0031 0.0086
9 39 2653.8058 0.008
10 39 2827.2241 0.0073
11 39 2998.068 0.0072
12 39 3165.6062 0.0086
13 39 3330.2542 0.0108
14 39 3492.4982 0.0147
15 39 3652.5497 0.0192
16 39 3810.9994 0.025
17 39 3968.1403 0.0356
18 39 4124.2832 0.0498
19 39 4279.3545 0.0679
1 40 1010.2585 0.0021
2 40 1288.7342 0.0022
3 40 1530.3189 0.0031
4 40 1743.2542 0.0047
5 40 1941.3957 0.0058
6 40 2133.9077 0.007
7 40 2319.2797 0.008
8 40 2497.869 0.0085
9 40 2673.7161 0.008
10 40 2848.1773 0.0073
11 40 3019.9775 0.0072
12 40 3188.6012 0.0089
13 40 3354.5232 0.0113
14 40 3517.9989 0.0152
15 40 3679.1974 0.0199
16 40 3838.516 0.0269
17 40 3996.5741 0.0378
18 40 4153.3977 0.0528
1 41 1020.8745 0.0174
2 41 1301.5681 0.0021
3 41 1544.3648 0.0033
4 41 1758.0285 0.0047
5 41 1957.4333 0.0063
6 41 2151.1088 0.0069
7 41 2337.1474 0.008
8 41 2516.5012 0.0084
9 41 2693.4663 0.0081
10 41 2868.8671 0.0072
