M	radius	Teff	L	age	XMF	ZMF	alpha	X	Z	nu_ac	X_surf	Z_surf	mu	Gamma	Dnu0	nu_max_classic	nu_max	Fe/H
1	34.07493	3880.61	2.373978	12.6395	0	0.01649999	1.700982	0.6974627	0.0165	5.074701	0.697462754	0.0165	1.31041	1.56266	0.663718543084247	3.24705555569479	3.3114082751798	0.0135588691715575
1	35.09781	3867.23	2.393631	12.64	0	0.01649999	1.700982	0.6974627	0.0165	4.784636	0.697462754	0.0165	1.31049	1.55941	0.635132788266043	3.06584097950989	3.12669768240075	0.0135588691715575
1	36.13647	3853.807	2.412929	12.6406	0	0.01649999	1.700982	0.6974627	0.0165	4.514776	0.697462754	0.0165	1.31057	1.55633	0.608069041840583	2.89716500240618	2.95476368431462	0.0135588691715575
1	1.219996	5822.775	0.186738	9.1771	0.005813361	0.0165	1.700982	0.71743	0.0165	3337.977	0.71743	0.0165	1.28323	1.6386	101.552704436084	2067.89196314928	2086.88976263617	0.00130035633826706
1	1.260158	5813.531	0.2121144	9.59321	0.0009144704	0.0165	1.700982	0.71743	0.0165	3131.02	0.71743	0.0165	1.28322	1.63889	96.8479596284755	1939.72277560323	1957.53545263204	0.00130035633826706
1	1.296353	5801.897	0.2332081	9.9098	0.0001380597	0.0165	1.700982	0.71743	0.0165	2961.6	0.71743	0.0165	1.28322	1.63911	92.9146143064369	1834.75509249121	1851.60384031259	0.00130035633826706
1	1.336749	5784.422	0.2546366	10.2117	1.317446e-05	0.0165	1.700982	0.71743	0.0165	2789.542	0.71743	0.0165	1.28322	1.63926	88.8542250954337	1728.14405961594	1744.01378717721	0.00130035633826706
1	1.376984	5762.886	0.2739139	10.4681	9.083144e-07	0.0165	1.700982	0.71743	0.0165	2633.874	0.71743	0.0165	1.28323	1.63976	85.0981255041768	1631.6682430443	1646.6584391778	0.00130035633826706
1	1.415896	5738.125	0.2906527	10.6809	4.466771e-08	0.01649999	1.700982	0.71743	0.0165	2496.518	0.71743	0.0165	1.28325	1.64052	81.709613211448	1546.54282737714	1560.7631358153	0.00130035633826706
1	1.453071	5710.972	0.3049017	10.8568	1.508567e-09	0.01649999	1.700982	0.71743	0.0165	2376.135	0.71743	0.0165	1.28326	1.64084	78.6862600199642	1471.90905521773	1485.4489013029	0.00130035633826706
1	1.488742	5681.461	0.3169585	11.0042	3.170177e-11	0.01649999	1.700982	0.71743	0.0165	2269.622	0.71743	0.0165	1.28328	1.64149	75.9470098532109	1405.8557670706	1418.7990560464	0.00130035633826706
1	1.521993	5650.801	0.3267377	11.1252	4.280757e-13	0.01649999	1.700982	0.71743	0.0165	2177.604	0.71743	0.0165	1.2833	1.64201	73.5127225613104	1348.7434434368	1361.17152336545	0.00130035633826706
1	1.552524	5619.659	0.3344235	11.224	3.773296e-15	0.01649999	1.700982	0.71743	0.0165	2098.872	0.71743	0.0165	1.28333	1.64251	71.3949632430227	1299.80450068308	1311.79696251626	0.00130035633826706
1	1.58098	5588.175	0.3404276	11.3067	1.912802e-17	0.01649999	1.700982	0.71743	0.0165	2030.122	0.71743	0.0165	1.28336	1.64295	69.5041664594831	1256.96131622291	1268.57331875138	0.00130035633826706
1	1.607518	5556.355	0.3449658	11.3763	5.181519e-20	0.01649999	1.700982	0.71743	0.0165	1969.716	0.71743	0.0165	1.28339	1.64331	67.8216284282098	1219.27868401581	1230.55695115749	0.00130035633826706
1	1.632455	5524.208	0.3482606	11.4357	0	0.01649999	1.700982	0.71743	0.0165	1915.95	0.71743	0.0165	1.28343	1.6436	66.2825576458959	1185.74749305323	1196.73424749184	0.00130035633826706
1	1.656361	5491.361	0.3505096	11.4877	0	0.01649999	1.700982	0.7174299	0.0165	1866.884	0.717429899	0.0165	1.28346	1.6437	64.8566059206354	1155.20663128673	1165.92403035309	0.00130041747837246
1	1.678795	5458.584	0.3518124	11.5324	0	0.01649999	1.700982	0.7174296	0.0165	1822.849	0.71742959	0.0165	1.2835	1.64376	63.5534081537368	1127.90969615135	1138.39158762369	0.00130060453082736
1	1.700607	5425.128	0.3523466	11.5722	0	0.01649999	1.700982	0.717429	0.0165	1781.828	0.717429085	0.0165	1.28353	1.64368	62.3257117628597	1102.54606545253	1112.80525250536	0.00130091023161471
1	1.721501	5391.753	0.3522278	11.6074	0	0.01649999	1.700982	0.7174282	0.0165	1744.117	0.717428207	0.0165	1.28357	1.64349	61.1922468621615	1079.27001218729	1089.32958921786	0.00130144172775329
1	1.741102	5359.447	0.3516368	11.6378	0	0.01649999	1.700982	0.717427	0.0165	1710.097	0.717427035	0.0165	1.28362	1.64317	60.1463355102832	1058.28159733346	1068.1663511499	0.00130215119741675
1	1.760731	5326.599	0.3506722	11.666	0	0.01649999	1.700982	0.7174252	0.0165	1677.267	0.717425542	0.0165	1.28367	1.64268	59.1172799961816	1038.00307560114	1047.71882524181	0.00130305498596183
1	1.780225	5293.708	0.3494715	11.6918	0	0.01649999	1.700982	0.717423	0.0165	1645.742	0.717423421	0.0165	1.28371	1.64217	58.1258106228466	1018.54420208009	1028.09383356384	0.0013043389379594
1	1.799427	5261.505	0.3481912	11.7154	0	0.01649999	1.700982	0.7174195	0.0165	1615.63	0.717420255	0.0165	1.28377	1.64147	57.1729296333887	999.968234284999	1009.3672897014	0.00130625549005867
1	1.818165	5230.702	0.3469861	11.7367	0	0.01649999	1.700982	0.7174144	0.0165	1587.051	0.717415633	0.0165	1.28382	1.64065	56.2652150071708	982.342847720475	991.595545551081	0.00130905345338274
1	1.838486	5198.404	0.3458753	11.758	0	0.01649999	1.700982	0.7174057	0.0165	1556.858	0.717406805	0.0165	1.28389	1.63968	55.3045745356839	963.726930086802	972.83080499646	0.00131439760132023
1	1.860668	5164.758	0.3450441	11.7793	0	0.01649999	1.700982	0.7173919	0.0165	1524.761	0.717393633	0.0165	1.28397	1.63843	54.2836385909084	943.945449941309	952.892144784067	0.00132237157005376
1	1.882155	5134.404	0.3447483	11.7983	0	0.01649999	1.700982	0.7173767	0.0165	1494.433	0.717376723	0.0165	1.28405	1.63727	53.3263336780047	925.238876600941	934.03736799803	0.00133260863643672
1	1.905508	5103.757	0.3450801	11.8173	0	0.01649999	1.700982	0.7173534	0.0165	1462.259	0.717353711	0.0165	1.28414	1.63587	52.302338283215	905.405474338096	914.047392887611	0.00134654015190692
1	1.930907	5073.527	0.3462478	11.8363	0	0.01649999	1.700982	0.7173205	0.0165	1428.149	0.717326897	0.0165	1.28425	1.63431	51.2330947086939	884.365844810632	892.845182502371	0.00136277397032501
1	1.958451	5044.057	0.3484535	11.8552	0	0.01649999	1.700982	0.717271	0.0165	1392.169	0.717282173	0.0165	1.28438	1.63279	50.1100446874627	862.172666412271	870.483269554432	0.00138985226896554
1	1.992071	5012.68	0.3523803	11.8764	0	0.01649999	1.700982	0.7171915	0.0165	1349.658	0.717197998	0.0165	1.28455	1.63092	48.8036326288296	835.920635520377	844.034044110512	0.00144082088992694
1	2.028433	4983.564	0.3579798	11.8973	0	0.01649999	1.700982	0.7170551	0.0165	1305.408	0.71708384	0.0165	1.28479	1.62906	47.4474642685675	808.571274711884	816.495496251074	0.00150995401042839
1	2.0719	4954.388	0.3661757	11.9202	0	0.01649999	1.700982	0.7168478	0.0165	1254.833	0.71689035	0.0165	1.28512	1.62716	45.9082445626409	777.279251350914	784.997596844897	0.00162715505965161
1	2.122994	4926.29	0.3774773	11.9449	0	0.01649999	1.700982	0.7165464	0.0165	1198.535	0.716568984	0.0165	1.28556	1.62533	44.1995747332205	742.424239112393	749.924822868216	0.00182188326644359
1	2.176985	4902.414	0.3908584	11.9688	0	0.01649999	1.700982	0.7161503	0.0165	1142.632	0.716179026	0.0165	1.2861	1.62379	42.5003511579682	707.772685054527	715.073326273034	0.00205829135854897
1	2.238662	4880.564	0.4073627	11.9941	0	0.01649999	1.700982	0.7156973	0.0165	1083.018	0.715732215	0.0165	1.2867	1.62245	40.7026927889131	670.80702527278	677.884437779792	0.00232932430039002
1	2.307913	4861.161	0.4268877	12.0204	0	0.01649999	1.700982	0.7151503	0.0165	1021.145	0.715191891	0.0165	1.2874	1.62144	38.8304962983642	632.413007272046	639.259156404228	0.00265730779274845
