model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0073	1.6000E+00	3.0655E+00	3.6688E+00	3.7990E+00	1.1226E+00	1.9984E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0074	1.6000E+00	3.0695E+00	3.6677E+00	3.7987E+00	1.1225E+00	1.9988E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0075	1.6000E+00	3.0734E+00	3.6666E+00	3.7984E+00	1.1223E+00	1.9992E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0076	1.6000E+00	3.0774E+00	3.6655E+00	3.7981E+00	1.1222E+00	1.9996E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0077	1.6000E+00	3.0813E+00	3.6643E+00	3.7978E+00	1.1220E+00	2.0000E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0078	1.6000E+00	3.0854E+00	3.6632E+00	3.7974E+00	1.1218E+00	2.0004E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0079	1.6000E+00	3.0894E+00	3.6621E+00	3.7971E+00	1.1216E+00	2.0008E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0080	1.6000E+00	3.0934E+00	3.6609E+00	3.7968E+00	1.1214E+00	2.0012E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0081	1.6000E+00	3.0975E+00	3.6598E+00	3.7964E+00	1.1212E+00	2.0016E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0082	1.6000E+00	3.1016E+00	3.6587E+00	3.7961E+00	1.1210E+00	2.0020E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0083	1.6000E+00	3.1057E+00	3.6575E+00	3.7957E+00	1.1207E+00	2.0024E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0084	1.6000E+00	3.1098E+00	3.6564E+00	3.7954E+00	1.1205E+00	2.0028E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
