M Y Z alpha diffusion overshoot age X_c Y_surf
1.079478024414060933e+00 2.647570507812518903e-01 2.088798535156253036e-02 1.909324782226581974e+00 2.777237714843739380e-01 1.892183574218748721e-01 6.700570858116460471e+00 9.930668449257153141e-02 2.579364203476299799e-01
1.084433299804689943e+00 2.660137636718774012e-01 2.223915917968760994e-02 1.898515241210954496e+00 1.280657744140620835e-01 1.937748378906249125e-01 6.829699977497856622e+00 8.781460935471084583e-02 2.629055953784059096e-01
1.063727891601564668e+00 2.814026943359396182e-01 2.135669238281264273e-02 1.837594959960945795e+00 1.294317001953117774e-01 2.227377031250005746e-01 6.738352234488325543e+00 1.044979471088830769e-01 2.778822077392481549e-01
1.097437554687502370e+00 2.610871835937533803e-01 2.279351757812515464e-02 1.837593583984396428e+00 5.537357910156291002e-02 1.758366367187500778e-01 6.829488938680042587e+00 6.147930958821027497e-02 2.592019125773556976e-01
1.078583222656250618e+00 2.639871318359398034e-01 2.286880371093755193e-02 1.789792750976574753e+00 3.196972617187501253e-01 1.704413076171872599e-01 7.419794595519179303e+00 6.718498339156123156e-02 2.569614688057381691e-01
1.073684367187502042e+00 2.735257822265649841e-01 2.248005664062506168e-02 1.958932981445322463e+00 3.685402500000005688e-01 2.160634375000003160e-01 7.317350566958344515e+00 8.231638839552171683e-02 2.656936442314594138e-01
1.104850457031252731e+00 2.583025087890659655e-01 2.307896679687517633e-02 1.920655473632825405e+00 5.087890244140631513e-01 2.054374326171871934e-01 6.724240273830416115e+00 1.070145258000626404e-01 2.480873224378816466e-01
1.089019088867189788e+00 2.626548642578151460e-01 2.325848632812511918e-02 1.794311833984387095e+00 3.465257460937504752e-01 1.883647744140621583e-01 7.218554787784569271e+00 7.951650263885969017e-02 2.549664278541167173e-01
1.067386000000002610e+00 2.726146035156274405e-01 2.243373632812510274e-02 1.883296920898446469e+00 6.609514433593783878e-01 2.389569101562502018e-01 6.832324524994112025e+00 1.582310133041989753e-01 2.586667511876352132e-01
1.039556147460936941e+00 2.818632187500021424e-01 1.983538964843761451e-02 1.788543543945319891e+00 4.603651308593765812e-01 2.557211337890634151e-01 7.480383521427403259e+00 9.500227741499861489e-02 2.712991149881253117e-01
1.105703621093752531e+00 2.543078525390651823e-01 2.358815234375008507e-02 1.861872890625014598e+00 3.698170029296870553e-01 1.786210966796873134e-01 6.916970840687895361e+00 8.957716791718889349e-02 2.466485367586389033e-01
1.091609355468750930e+00 2.605484375000028940e-01 2.227722949218763349e-02 1.868032684570327007e+00 5.645316035156265899e-01 1.936286005859374493e-01 7.033888737202621755e+00 9.125899598947442848e-02 2.485044099454070954e-01
1.080227984375001116e+00 2.644712187500022904e-01 2.205025292968755199e-02 1.876302709960949056e+00 6.064406699218775065e-01 1.925253867187496637e-01 7.062615938507436297e+00 9.968460803973526463e-02 2.511632602496841615e-01
1.071308563476563780e+00 2.706815000000022953e-01 2.216040039062508807e-02 1.829427805664073814e+00 4.115830761718752839e-01 2.025956455078125329e-01 7.206767134078517323e+00 9.043309642498674472e-02 2.616269707675075162e-01
1.065514788085938358e+00 2.743162968750026409e-01 2.147483203125013021e-02 1.797431803710948239e+00 2.379552929687478169e-01 2.229070556640625755e-01 7.216104544995147307e+00 8.422305557416753796e-02 2.685775440644650458e-01
1.088228804687500828e+00 2.617630644531268591e-01 2.382813769531252554e-02 1.815955741210951491e+00 3.373498535156254086e-01 1.592314111328123893e-01 7.300726121850128258e+00 7.672145673044446224e-02 2.542927418777410908e-01
