M Y Z alpha diffusion overshoot age X_c Y_surf
1.009557375976564586e+00 2.741813417968749222e-01 2.101645410156235266e-02 1.913685487304706445e+00 8.620649687499977176e-01 1.569764140625001247e-01 4.435584552577210182e+00 3.725624349634936161e-01 2.581860834518591163e-01
1.016549666015627240e+00 2.761250859375003475e-01 2.149526074218735539e-02 1.916678718750018939e+00 9.326368837890609553e-01 1.565989306640624412e-01 4.190164202195937548e+00 3.816946321387086893e-01 2.592521557125901932e-01
1.010779161132814963e+00 2.722319277343744903e-01 2.003502734374985189e-02 1.893257306640644622e+00 7.886124199218738084e-01 1.556319648437501646e-01 4.308687267941910370e+00 3.815544371023092962e-01 2.566029308847088131e-01
1.003188528320315243e+00 2.714851035156249925e-01 1.879182226562485514e-02 1.914230745117209143e+00 7.710014160156235530e-01 1.517894433593751646e-01 4.428515580183947975e+00 3.712614168462867736e-01 2.560891914300856831e-01
1.013938169921877464e+00 2.736059374999998961e-01 2.087733886718735887e-02 1.914433170898456993e+00 8.866116640624981393e-01 1.557194658203126802e-01 4.329145392520551638e+00 3.760183356438665525e-01 2.570778490998914534e-01
1.008708607421877845e+00 2.728731982421873092e-01 2.021053124999985448e-02 1.904479791015645018e+00 7.822581181640609893e-01 1.580044072265626709e-01 4.412899932614332776e+00 3.748330747476815716e-01 2.573631673191810743e-01
1.011621811523439884e+00 2.738811923828123329e-01 2.092776464843735043e-02 1.921007083007831184e+00 8.968721591796852133e-01 1.567536054687500569e-01 4.376267711808662142e+00 3.745216345918899181e-01 2.573236742639139485e-01
9.982578857421882113e-01 2.725383613281247563e-01 1.816957031249987614e-02 1.915607233398457954e+00 7.601126523437490290e-01 1.478992519531252547e-01 4.398797742602373440e+00 3.705952297526305395e-01 2.573587144955389316e-01
1.013189069335939996e+00 2.720449003906244001e-01 2.023678613281235800e-02 1.887294701171893685e+00 7.723916455078111420e-01 1.561709208984375929e-01 4.298418112156542570e+00 3.814413435241666983e-01 2.568230388424351807e-01
1.017372874023438900e+00 2.770020576171879356e-01 2.259745507812483192e-02 1.900568404296892666e+00 7.853196591796870463e-01 1.520632294921875349e-01 4.361946509378040737e+00 3.718735637495588775e-01 2.623740481288841520e-01
1.004599264648441848e+00 2.735195859374999205e-01 1.973875292968734277e-02 1.920772605468771710e+00 7.754971943359357800e-01 1.550507265625001296e-01 4.448144126988061053e+00 3.697346482322081962e-01 2.578590356283792517e-01
1.008588237304691493e+00 2.725264091796872901e-01 2.007037597656235670e-02 1.916114382812520223e+00 7.961099130859361495e-01 1.588275292968750751e-01 4.417245409427102310e+00 3.737337865162457806e-01 2.568620289019044600e-01
1.013219532226563580e+00 2.733270371093745044e-01 2.078670117187484886e-02 1.881179259765643152e+00 8.358092988281220492e-01 1.549905361328126341e-01 4.287540258964119388e+00 3.825860284029909963e-01 2.575648487204990067e-01
1.009760458007815442e+00 2.712570136718746583e-01 1.949807324218735122e-02 1.896470352539082471e+00 8.063694902343735427e-01 1.512230498046875926e-01 4.287112908682240153e+00 3.809338078688368490e-01 2.553407776886680303e-01
9.957239501953133454e-01 2.724106220703121917e-01 1.809369921874987713e-02 1.919017329101582625e+00 7.387595234374987330e-01 1.492774257812501948e-01 4.472422869991582672e+00 3.685783837558064824e-01 2.576863153395980155e-01
1.022449750976564209e+00 2.784592382812505207e-01 2.332706738281234427e-02 1.892320085937518881e+00 7.089000214843768077e-01 1.504386494140624031e-01 4.293091283194514496e+00 3.733459785968047950e-01 2.651043066122275582e-01
1.010633032226565087e+00 2.711948291015621182e-01 1.961639355468734747e-02 1.898710173828144443e+00 7.985380175781235934e-01 1.518517011718750753e-01 4.278057246321579576e+00 3.819366559569718489e-01 2.553788797923465803e-01
1.012219597656252024e+00 2.722056386718743060e-01 2.036083203124985225e-02 1.874411035156268390e+00 7.899369277343728513e-01 1.549890996093752082e-01 4.299861083465261302e+00 3.835883396755959684e-01 2.567899682739118727e-01
1.018217991210939477e+00 2.769748857421879817e-01 2.251777246093732837e-02 1.916621252929705532e+00 7.975217880859376551e-01 1.536359980468750275e-01 4.352718581070465831e+00 3.713946085037736489e-01 2.620359885092971020e-01
1.004645488281252552e+00 2.729961328124997366e-01 1.980978027343734821e-02 1.896802828125019991e+00 7.686060009765606216e-01 1.542454433593752061e-01 4.428947637085009603e+00 3.752350589215360799e-01 2.575841415709392845e-01
1.021506909179689560e+00 2.776805234375004927e-01 2.287586035156234307e-02 1.904986305664081003e+00 7.587229101562509292e-01 1.527782324218750210e-01 4.266580937902372028e+00 3.748460089894878888e-01 2.634653231808707363e-01
1.009262117187503582e+00 2.728693974609373019e-01 2.034211035156235220e-02 1.916378669921895206e+00 8.248444013671858421e-01 1.597058125000000994e-01 4.408758448327449564e+00 3.743613199872364294e-01 2.570391754470162105e-01
1.014745922851563176e+00 2.760278769531247511e-01 2.157778320312485343e-02 1.891275208007829223e+00 9.058478300781231951e-01 1.529642744140625454e-01 4.249895940283010987e+00 3.800372075345757605e-01 2.596872884504070056e-01
1.026929362304690452e+00 2.778356601562508854e-01 2.381481445312486067e-02 1.899391705078143477e+00 6.516482177734401748e-01 1.526301279296872759e-01 4.276417463452197865e+00 3.753623358901548301e-01 2.654519071130685970e-01
1.005975772460941497e+00 2.730498945312499481e-01 1.978443749999984902e-02 1.920486261718771015e+00 7.884843271484358596e-01 1.564823154296876295e-01 4.430408860314867248e+00 3.719121284132747007e-01 2.573095454412781535e-01
